,0
AU05,0.5493421052631579
AU07,0.4838823073249342
AU04,0.4693428797796053
AU09,0.46859527881250007
AU13,0.4671052631578947
AU16,0.4603955734342106
AU06,0.2651300479934211
AU15,0.25773007056776315
AU17,0.25222812298026315
AU19,0.19423509297697367
AU10,0.19223545878289477
AU03,0.09964626842105262
AU14,0.09227553322368426
AU01,0.07473039461842104
AU02,0.06842016644736842
AU12,0.05554098123026313
AU00,0.034976609671052594
AU18,0.03421572768092107
AU11,0.031927885835526304
AU08,0.026315789473684237
